ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi,pe_ratio,pb_ratio
MLM,55,-0.023972581355879447,Basic Materials,0.003134796238244514,0.004147548599131366,0.014388899948701805,0.0020014350231873507,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,12.751223519115626,12.751223519115626,,
MA,56,-0.024639729551342936,Financial Services,0.003134796238244514,0.004176016247794588,0.014290811693272667,0.0019877913624155668,0.0031347962382445144,100.0,32.78000000000001,100.0,32.78000000000001,50.0,52.39763471329955,52.39763471329955,19.04,5.02
XLP,57,-0.02474225480537134,ETF - Other,0.003134796238244514,0.006850779709213018,0.008711221840197679,0.0012116940522127412,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.324187706787924,25.324187706787924,,
CCI,58,-0.024817565373836593,Real Estate,0.003134796238244514,0.003650559543683689,0.0163478121945819,0.0022739114175074552,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,4.150892346115825,4.150892346115825,,
CEG,59,-0.025599962956714895,Utilities,0.003134796238244514,0.0015212525123536249,0.039229951201820504,0.005456720011479275,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,31.561749958910397,31.561749958910397,,
PDD,60,-0.026477138412806012,Consumer Cyclical,0.003134796238244514,0.0023323508196365153,0.025587343603214956,0.0035590910924655932,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,19.5569182384438,19.5569182384438,,
ODFL,61,-0.026585577732375295,Industrials,0.003134796238244514,0.0023928067500094993,0.024940861532191275,0.0034691681752570254,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,8.320297815513143,8.320297815513143,,
V,62,-0.02686118317604224,Financial Services,0.003134796238244514,0.00421598966571113,0.01415531501669686,0.001968944348745924,0.003134796238244514,96.61240651121865,26.134999999999998,100.0,26.134999999999998,50.0,59.67429976230347,59.67429976230347,22.73,6.92
OKTA,63,-0.02735057185555607,Technology,0.003134796238244514,0.0020420673348871704,0.02922462976891844,0.0040650221884734284,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,40.74844239724897,40.74844239724897,,
NEM,64,-0.027693560387900523,Basic Materials,0.003134796238244514,0.0023353527879892534,0.025554452471681192,0.0035545160754150455,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.096388613763636,24.096388613763636,,
TAN,65,-0.027969181284349602,ETF - Other,0.003134796238244514,0.0024709095324367955,0.024152507828331872,0.00335951151497105,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,32.129273750865536,32.129273750865536,,
AEM,66,-0.02842575925397996,Basic Materials,0.003134796238244514,0.0025327949738222,0.023562373757880388,0.0032774263659194527,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,29.484087790648843,29.484087790648843,,
BIIB,67,-0.028630009126062384,Healthcare,0.003134796238244514,0.0029300597368096403,0.020367728710630292,0.002833064774205472,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,35.32989885791197,35.32989885791197,,
SWK,68,-0.02897413745404048,Industrials,0.003134796238244514,0.002109306474562494,0.028293025477797346,0.0039354399783914406,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,25.14569646066478,25.14569646066478,,
AGI,69,-0.02941891581239236,Basic Materials,0.003134796238244514,0.0022615107847380436,0.02638884688413824,0.0036705768032119636,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,31.578947368421012,31.578947368421012,,
NSC,70,-0.02981910459317111,Industrials,0.003134796238244514,0.0041845574807523,0.014261642264393155,0.001983734018436947,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.892554276555387,20.892554276555387,,
UPS,71,-0.03055994995441718,Industrials,0.003134796238244514,0.0029103851732083545,0.02050541707491277,0.00285221664234986,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.54388674778171,38.54388674778171,,
LCID,72,-0.030813423716175462,Consumer Cyclical,0.003134796238244514,0.001249117532009074,0.04777665855773612,0.006645530795906598,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,67.24137779837616,67.24137779837616,,
AMD,73,-0.03134834205026537,Technology,0.003134796238244514,0.0015675389213062252,0.03807156620745947,0.005295593566350436,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,35.57990915730109,35.57990915730109,,
DXCM,74,-0.03202011492713067,Healthcare,0.003134796238244514,0.002116050285889161,0.028202856152921087,0.003922897807310406,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,48.91705277140988,48.91705277140988,,
OXY,75,-0.03231770480982035,Energy,0.003134796238244514,0.0026052948961304222,0.022906682047363902,0.0031862224268747784,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,49.725243387606305,49.725243387606305,,
DLTR,76,-0.03304454743170029,Consumer Defensive,0.003134796238244514,0.0022065247322179114,0.02704645044485539,0.0037620466725198504,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,61.04526159984007,61.04526159984007,,
STZ,77,-0.03339998374190309,Consumer Defensive,0.003134796238244514,0.002952884084163963,0.020210296145836047,0.002811166571417715,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,3.6132063194453963,3.6132063194453963,,
GD,78,-0.033401215712429204,Industrials,0.003134796238244514,0.004476290911224266,0.01333216786148455,0.0018544480667818815,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.52416327256476,38.52416327256476,,
XLV,79,-0.03358151666027186,Healthcare,0.003134796238244514,0.005491982344879176,0.01086650649576924,0.0015114850167741699,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,26.806862448450175,26.806862448450175,,
GEHC,80,-0.03380057239322677,Healthcare,0.003134796238244514,0.002594861140180846,0.02299878822075246,0.0031990340053782663,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,33.88671138775452,33.88671138775452,,
DHI,81,-0.03403861242820108,Consumer Cyclical,0.003134796238244514,0.002499012449225038,0.023880898169909612,0.0033217317621796415,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.166090115692853,14.166090115692853,,
COP,82,-0.03406853706514581,Energy,0.003134796238244514,0.0028124849699467562,0.02121919315586932,0.0029514998712438616,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,21.555616216628067,21.555616216628067,,
ZTS,83,-0.03424715628205452,Healthcare,0.003134796238244514,0.0032610865503765883,0.01830023855649826,0.0025454856528461496,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,18.544850510525677,18.544850510525677,,
URNM,84,-0.03437943120291486,Energy,0.003134796238244514,0.00207650115445743,0.028740008979611195,0.003997613489813895,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,21.875647035021984,21.875647035021984,,
PPG,85,-0.0345815523660072,Basic Materials,0.003134796238244514,0.003212986046638038,0.018574205103606134,0.0025835932388685876,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,23.151411309089525,23.151411309089525,,
IQV,86,-0.034795152395598855,Healthcare,0.003134796238244514,0.002488818617343327,0.02397871078647874,0.003335337082753763,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,33.68420236419817,33.68420236419817,,
LIN,87,-0.03561133213895699,Basic Materials,0.003134796238244514,0.0049483870937997694,0.012060225017573045,0.0016775262058771022,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,24.82829979306007,24.82829979306007,,
ELV,88,-0.035699957796905074,Healthcare,0.003134796238244514,0.0026182898470094905,0.02279299287412439,0.003170408744530055,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,22.445685473576717,22.445685473576717,,
GM,89,-0.03596192251793391,Consumer Cyclical,0.003134796238244514,0.0025760878979443997,0.02316639190491147,0.003222346967778935,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,55.4786789734398,55.4786789734398,,
EOG,90,-0.03600728762719361,Energy,0.003134796238244514,0.0033091722141299126,0.018034317334847737,0.0025084971375101913,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,26.006571978903366,26.006571978903366,,
MMC,91,-0.03607073443514338,Financial Services,0.003134796238244514,0.0046665178581633375,0.012788692476742832,0.0017788529432394156,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,32.87211362339728,32.87211362339728,,
QCOM,92,-0.03646902386740547,Technology,0.003134796238244514,0.002480762455509173,0.024056580545528523,0.0033461684363363872,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,40.20977685918857,40.20977685918857,,
PEP,93,-0.036825961020692695,Consumer Defensive,0.003134796238244514,0.004182719617092914,0.014267908750421476,0.001984605660095038,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,30.199173078591585,30.199173078591585,,
AU,94,-0.037173624783535995,Basic Materials,0.003134796238244514,0.0018406025353337172,0.032423437803457814,0.004509962834082532,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,32.43968829371643,32.43968829371643,,
HUM,95,-0.03756562083919641,Healthcare,0.003134796238244514,0.002159602913677375,0.027634090252109653,0.0038437848801278515,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,31.775693988661047,31.775693988661047,,
ZBH,96,-0.03763810719549818,Healthcare,0.003134796238244514,0.0030724950043268602,0.019423517936151793,0.0027017290556968013,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,30.93673616434863,30.93673616434863,,
ED,97,-0.03794821039779216,Utilities,0.003134796238244514,0.004785371673004921,0.012471060954771147,0.001734671744203433,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,15.394066285056653,15.394066285056653,,
COST,98,-0.03796187746643335,Consumer Defensive,0.003134796238244514,0.0043707605003094315,0.013654068169842421,0.001899223035919142,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,19.05929829350258,19.05929829350258,,
VRTX,99,-0.03812088928781813,Healthcare,0.003134796238244514,0.0028415872906567925,0.021001875262288944,0.0029212718729307373,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,17.17249222495232,17.17249222495232,,
CSX,100,-0.03824749449221069,Industrials,0.003134796238244514,0.004039798265158013,0.01477268366096129,0.002054817711633543,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,29.032239339397407,29.032239339397407,,
MRK,101,-0.03910697509782927,Healthcare,0.003134796238244514,0.0031306567896138954,0.019062665068641946,0.0026515359506070024,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,34.74180970272822,34.74180970272822,,
CMCSA,102,-0.039195090085898644,Communication Services,0.003134796238244514,0.0034919604678889777,0.017090302818163792,0.0023771887176292825,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,37.269908850023924,37.269908850023924,,
