ticker,rank,score,sector,equal_weight,risk_parity_weight,volatility_annual,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,tech_score,fund_score,sent_score,rsi,rsi
HL,94,0.009311920230074626,Basic Materials,0.003134796238244514,0.001452752537981643,0.041079716100990656,0.005714014472283124,0.003134796238244515,50.0,50.0,100.0,50.0,50.0,20.11833064421478,20.11833064421478
SPY,95,0.009226760179606228,Broad Market ETF,0.003134796238244514,0.004866502473646265,0.012263152469038986,0.0017057525546583189,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,38.596148797609374,38.596148797609374
SWK,96,0.009052746981710599,Industrials,0.003134796238244514,0.0021093064745624935,0.028293025477797346,0.0039354399783914406,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,25.14569646066478,25.14569646066478
WPM,97,0.008488894316276089,Basic Materials,0.003134796238244514,0.002643022269042328,0.022579704501280454,0.0031407412354799965,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,23.797284499693646,23.797284499693646
VRTX,98,0.008374617254729792,Healthcare,0.003134796238244514,0.0028415872906567916,0.021001875262288944,0.0029212718729307373,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,17.17249222495232,17.17249222495232
CHTR,99,0.008227335330719761,Communication Services,0.003134796238244514,0.0024408345180030066,0.024450105644239346,0.003400906110367831,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,34.43990062615198,34.43990062615198
PM,100,0.008094966438633798,Consumer Defensive,0.003134796238244514,0.0035919586483452253,0.016614518057654373,0.0023110090731410134,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,21.379557704551445,21.379557704551445
NSC,101,0.006948523919363451,Industrials,0.003134796238244514,0.004184557480752299,0.014261642264393155,0.001983734018436947,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,20.892554276555387,20.892554276555387
UPS,102,0.006947881535190619,Industrials,0.003134796238244514,0.002910385173208354,0.02050541707491277,0.00285221664234986,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,38.54388674778171,38.54388674778171
CDW,103,0.0066437873731487315,Technology,0.003134796238244514,0.002956374122021945,0.02018643763004652,0.002807847952949822,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,30.885446050890337,30.885446050890337
MPC,104,0.006558469797151863,Energy,0.003134796238244514,0.0027546739272655226,0.021664510356229582,0.0030134416071935354,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,18.098359041191742,18.098359041191742
BKR,105,0.005816423648345841,Energy,0.003134796238244514,0.0026568974564903556,0.022461785899751063,0.0031243392575784484,0.003134796238244514,50.0,50.0,100.0,50.0,50.0,45.7538830958886,45.7538830958886
VEEV,106,0.005721687613247706,Healthcare,0.003134796238244514,0.002748973888527343,0.021709432044569214,0.003019690023727404,0.0031347962382445144,50.0,50.0,100.0,50.0,50.0,14.631145375289492,14.631145375289492
