date,ticker,pe,pb,roe,net_margin,gross_margin,operating_margin,debt_to_equity,current_ratio,revenue_growth,market_cap
2026-01-09,MNST,43.522728,9.661958,0.25538,0.21654,0.55813,0.30738002,0.779,3.185,0.168,74839818240.0
2026-01-09,MO,10.66794,-35.469543,,0.4398,0.72186,0.62826,,0.618,-0.017,93905903616.0
2026-01-09,MPC,18.837236,3.117375,0.18887,0.02158,0.093109995,0.049689997,143.175,1.315,-0.008,53832880128.0
2026-01-09,MRK,14.681217,5.324538,0.39485002,0.29632,0.77852,0.40802,79.708,1.661,0.037,277228978176.0
2026-01-09,MRNA,-4.856723,1.4189926,-0.29317,-1.39606,-1.07616,-0.25591,7.867,3.925,-0.454,13230240768.0
2026-01-09,MRVL,29.383802,5.0380344,0.18040001,0.31748,0.50708,0.17733999,33.988,2.014,0.368,71942242304.0
2026-01-09,MS,18.941538,2.9322195,0.15135,0.23606001,0.86797,0.38872,420.553,2.266,0.191,294811271168.0
2026-01-09,MSFT,34.00498,9.789311,0.32241002,0.35707,0.68764,0.48873,33.154,1.401,0.184,3553871003648.0
2026-01-09,MU,31.05603,6.2616315,0.22554001,0.28146,0.45308998,0.44974998,21.244,2.46,0.567,368064036864.0
2026-01-09,NEE,25.234919,3.0554273,0.08236,0.24729,0.62041,0.30768,144.161,0.553,0.053,165546639360.0
2026-01-09,NEM,16.62364,3.5162342,0.22875999,0.33423,0.59299,0.4685,16.914,2.039,0.2,117413281792.0
2026-01-09,NET,158.84723,48.611546,-0.08882,-0.05118,0.75203,-0.06665,259.964,2.041,0.307,65488568320.0
2026-01-09,NFLX,37.87866,14.780408,0.42861,0.24047,0.48084998,0.28219998,65.822,1.332,0.172,383604883456.0
2026-01-09,NIO,-9.763621,21.906374,-1.6002901,-0.31465,0.112720005,-0.14801,228.656,0.937,0.167,11960557568.0
2026-01-09,NKE,38.163742,6.856483,0.17950001,0.05426,0.41132998,0.08095,80.099,2.063,0.006,96609820672.0
2026-01-09,NLR,27.938791,,,,,,,,,
2026-01-09,NOC,21.274395,5.2764177,0.26152,0.09819999,0.19422,0.13221,109.401,1.109,0.043,84591067136.0
2026-01-09,NOW,88.600006,13.425475,0.16813,0.13665,0.78053004,0.16789,21.255,1.063,0.218,154251362304.0
2026-01-09,NSC,22.082317,4.2936115,0.2048,0.24219,0.46427,0.36578,116.353,0.862,0.017,65009291264.0
2026-01-09,NUE,23.578653,1.8498155,0.09014,0.05185,0.114829995,0.10421,31.248,2.774,0.145,38420791296.0
2026-01-09,NVDA,45.91563,37.825016,1.07359,0.53007,0.7005,0.63168997,9.102,4.468,0.625,4505169035264.0
2026-01-09,NXE,-98.09091,9.364016,-0.31237,0.0,0.0,0.0,65.078,0.498,,7062714368.0
2026-01-09,O,54.476635,1.3731126,0.02488,0.17135,0.92573,0.44514,73.977,1.362,0.103,53621309440.0
2026-01-09,ODFL,34.351406,8.403498,0.25059,0.18967,0.39296,0.25655,1.994,1.204,-0.043,35953467392.0
2026-01-09,OKTA,85.39091,2.4150875,0.02964,0.06866,0.77077,0.031,6.137,1.466,0.116,16647234560.0
2026-01-09,ON,83.41096,3.1219237,0.03891,0.051570002,0.40297002,0.18505,45.833,5.231,-0.12,24902426624.0
2026-01-09,OR,48.78205,5.128032,0.11262,0.60722,0.96418,0.65182996,0.378,4.373,0.706,7152862720.0
2026-01-09,ORCL,35.58161,18.191845,0.69026,0.25280002,0.68543,0.31997,432.511,0.909,0.142,544889077760.0
2026-01-09,ORLY,31.81597,-86.77083,,0.14225,0.51474,0.20742,,0.757,0.078,77521936384.0
2026-01-09,OXY,31.786764,1.522451,0.05955,0.08169,0.63577,0.17723,62.221,0.935,-0.077,42590646272.0
2026-01-09,PAAS,30.68786,3.3862736,0.11287,0.19482,0.47349,0.30049,13.316,2.313,0.193,22406475776.0
2026-01-09,PANW,120.75949,15.237183,0.15324001,0.11687,0.73467004,0.12005,4.951,0.985,0.157,132987600896.0
2026-01-09,PAYX,25.848415,10.569896,0.40884998,0.26446,0.73362,0.41667,129.814,1.265,0.183,41012031488.0
2026-01-09,PCAR,23.222002,3.205163,0.14151,0.091120005,0.14876,0.099209994,82.453,5.69,-0.19,62079152128.0
2026-01-09,PDD,12.345177,3.0422602,0.30533,0.24435,0.56649,0.23113,2.727,2.355,0.09,172629000192.0
2026-01-09,PEP,26.546665,9.841124,0.37162,0.078200005,0.54269004,0.16903,260.19,0.912,0.027,190808293376.0
2026-01-09,PFE,14.703488,1.5495375,0.105979994,0.15654999,0.74808,0.35277,66.531,1.282,-0.059,143791554560.0
2026-01-09,PG,20.661314,6.299462,0.31902,0.19739,0.51278996,0.2758,67.125,0.714,0.03,331248893952.0
2026-01-09,PGR,11.698683,3.5239558,0.34223998,0.12579,0.17906,0.15079,19.455,0.297,0.142,124948529152.0
2026-01-09,PH,32.258717,8.302604,0.27294,0.18178,0.37199003,0.21086,74.953,1.066,0.037,114708398080.0
2026-01-09,PLD,37.322674,2.267974,0.05963,0.35243,0.76095,0.42720002,62.789,0.767,0.087,119257235456.0
2026-01-09,PLTR,421.09525,63.963833,0.19504,0.28114,0.80807996,0.33296,3.52,6.427,0.628,421534531584.0
2026-01-09,PLUG,-7.4344673,1.9661018,-0.93849,0.0,-0.70698,-1.39434,66.156,1.32,0.019,3228593664.0
2026-01-09,PM,22.687143,-22.651546,,0.21574,0.66920996,0.40747002,,0.848,0.094,247209787392.0
2026-01-09,PNC,14.124031,1.6115338,0.11486,0.29937,0.0,0.39788,,,0.108,85911740416.0
2026-01-09,PPG,18.83721,3.0294313,0.1616,0.06348,0.41562,0.1416,99.56,1.465,0.012,23766210560.0
2026-01-09,PPL,23.585032,1.7789521,0.076620005,0.12162,0.42299,0.26619,132.089,0.774,0.084,25646755840.0
2026-01-09,PRU,16.263014,1.2944024,0.085,0.04538,0.28004,0.09917,148.723,0.841,-0.083,41782665216.0
